epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants
107,2021-02-14,Brazil,AC,TOTAL,4,921,107,53027,921,53027,104.42946,6012.57462,0.01737,45594,9682,146768,16641.58923,12619,1.43083,157,0.01780,,
107,2021-02-14,Brazil,AL,TOTAL,9,2865,670,124295,2865,124295,85.84637,3724.35433,0.02305,118675,7143,299014,8959.60486,76743,2.29951,2822,0.08456,,
107,2021-02-14,Brazil,AM,TOTAL,53,9872,632,294954,9872,294954,238.18962,7116.59059,0.03347,250178,1465,717911,17321.61173,196332,4.73706,6439,0.15536,,
107,2021-02-14,Brazil,AP,TOTAL,0,1102,154,80528,1102,80528,130.30148,9521.70371,0.01368,59340,1595,138551,16382.39582,16847,1.99200,296,0.03500,,
107,2021-02-14,Brazil,BA,TOTAL,61,10735,2584,629849,10735,629849,72.17746,4234.83016,0.01704,603722,141729,1978117,13299.99656,374051,2.51496,,,,
107,2021-02-14,Brazil,CE,TOTAL,12,10834,1256,394906,10822,393650,118.63674,4324.38269,0.02743,298193,39893,1347790,14758.85335,214406,2.34783,894,0.00979,,
107,2021-02-14,Brazil,DF,TOTAL,8,4688,537,284838,4688,284838,155.47540,9446.52349,0.01646,275173,50,782118,25938.58987,111028,3.68219,9895,0.32816,,
107,2021-02-14,Brazil,ES,TOTAL,5,6141,588,310763,6141,310760,152.81251,7733.01980,0.01976,292787,193621,931541,23180.44617,98887,2.46070,65,0.00162,,
107,2021-02-14,Brazil,GO,TOTAL,5,7966,376,371545,7963,371391,113.50240,5293.90510,0.02144,356593,311137,778878,11097.73032,164444,2.34306,1729,0.02464,,
107,2021-02-14,Brazil,MA,TOTAL,9,4850,154,212874,4850,212874,68.54948,3008.74282,0.02278,199403,1299,520392,7355.17579,100740,1.42385,7682,0.10858,,
107,2021-02-14,Brazil,MG,TOTAL,119,16879,3184,807247,16879,807247,79.73530,3813.38263,0.02091,731674,2284178,2897457,13687.39953,367234,1.73479,79374,0.37496,,
107,2021-02-14,Brazil,MS,TOTAL,12,3142,395,170917,3130,170522,113.06282,6150.33685,0.01838,160472,972,564384,20308.99040,96445,3.47051,23336,0.83973,,
107,2021-02-14,Brazil,MT,TOTAL,17,5463,215,233091,5375,231762,156.78156,6689.43247,0.02344,219105,32840,897878,25768.02299,71594,2.05466,10838,0.31104,,
107,2021-02-14,Brazil,PA,TOTAL,20,8019,485,348448,7999,347963,93.21313,4050.37159,0.02301,326894,820,980727,11400.00453,117532,1.36620,4833,0.05618,,
107,2021-02-14,Brazil,PB,TOTAL,12,4242,641,204584,4242,204584,105.57158,5091.52647,0.02073,154858,47948,621217,15460.36250,87017,2.16561,3178,0.07909,,
107,2021-02-14,Brazil,PE,TOTAL,18,10662,891,280528,10662,280528,111.56138,2935.29262,0.03801,240595,2347,1159324,12130.53665,223207,2.33552,31462,0.32920,,
107,2021-02-14,Brazil,PI,TOTAL,8,3190,241,166098,3182,165857,97.45734,5074.44183,0.01921,162169,1130,523519,15993.97170,57087,1.74406,323,0.00987,,
107,2021-02-14,Brazil,PR,TOTAL,10,10738,1144,588088,10738,588088,93.91324,5143.34626,0.01826,431787,12934,2227986,19485.69511,239862,2.09780,,,,
107,2021-02-14,Brazil,RJ,TOTAL,104,31487,795,554835,31487,554835,182.37535,3213.65092,0.05675,519564,52017,2313502,13399.99790,370045,2.14333,,,,
107,2021-02-14,Brazil,RN,TOTAL,23,3435,8797,158082,3404,148598,97.95107,4507.80229,0.02173,108220,86312,575207,16402.36987,74252,2.11734,5205,0.14842,,
107,2021-02-14,Brazil,RO,TOTAL,25,2509,819,136603,2509,136603,141.17515,7686.30871,0.01837,116261,193146,384917,21658.31563,35584,2.00222,,,,
107,2021-02-14,Brazil,RR,TOTAL,0,976,71,77531,976,77460,161.11965,12798.94216,0.01259,72476,36635,173452,28633.73509,22446,3.70542,,,,
107,2021-02-14,Brazil,RS,TOTAL,24,11379,1322,585346,11379,585346,100.01548,5144.88621,0.01944,559001,1421,2421992,21288.04713,314506,2.76434,6424,0.05646,,
107,2021-02-14,Brazil,SC,TOTAL,11,6727,1865,613164,6727,613164,93.88973,8558.02014,0.01097,586634,106298,1531799,21379.54396,118646,1.65596,11132,0.15537,,
107,2021-02-14,Brazil,SE,TOTAL,7,2876,536,145029,2876,145029,125.11441,6309.18573,0.01983,134583,2541,299990,13050.44251,38817,1.68865,11784,0.51264,,
107,2021-02-14,Brazil,SP,TOTAL,75,56266,2187,1913598,56266,1913598,122.53303,4167.32934,0.02940,1646323,968262,8153498,17756.24317,1451541,3.16109,1,0.00000,,
107,2021-02-14,Brazil,TO,TOTAL,2,1457,77,107240,1455,107163,92.63345,6818.12691,0.01359,97693,708,340953,21677.18038,24198,1.53847,,,,
107,2021-02-14,Brazil,TOTAL,TOTAL,653,239421,30723,9848008,239245,9834513,113.06473,4650.64618,0.02431,8767967,4538123,33708882,15918.76076,5076110,2.39715,217869,0.10289,,
